n,Runtime
24250,0.143272688
24300,0.144161744
24350,0.141794192
24400,0.14427416
24450,0.141922852
24500,0.14798962
24550,0.144145368
24600,0.144218484
24650,0.142500252
24700,0.148512492
24750,0.14276748
24800,0.145588276
24850,0.145817388
24900,0.146780924
24950,0.148189244
25000,0.14594918
25050,0.14583906
25100,0.145630104
25150,0.147199564
25200,0.148941984
25250,0.151726568
25300,0.149468072
25350,0.145619264
25400,0.145299004
25450,0.14999786
25500,0.148885228
25550,0.151711176
25600,0.151565124
25650,0.152071724
25700,0.150775576
25750,0.152895692
25800,0.15100646
25850,0.152400184
25900,0.151995292
25950,0.151523168
26000,0.15439888
26050,0.153213692
26100,0.153913184
26150,0.152479352
26200,0.154886392
26250,0.154325212
26300,0.152382692
26350,0.155630116
26400,0.1574513
26450,0.156273956
26500,0.157337788
26550,0.156419552
26600,0.156544832
26650,0.157598024
26700,0.160148168
26750,0.15676216
26800,0.158299932
26850,0.156941324
26900,0.158028224
26950,0.156679176
27000,0.156409116
27050,0.160231284
27100,0.159631668
27150,0.161816052
27200,0.159248684
27250,0.162536324
27300,0.162003852
27350,0.162710248
27400,0.162628844
27450,0.162542672
27500,0.16541266
27550,0.162278976
27600,0.165135732
27650,0.163360128
27700,0.162333316
27750,0.167698344
27800,0.166107196
27850,0.162087652
27900,0.165731792
27950,0.166094504
28000,0.1640241
28050,0.165064132
28100,0.172444752
28150,0.167201428
28200,0.172539044
28250,0.169377128
28300,0.174151012
28350,0.171213024
28400,0.172708964
28450,0.170275248
28500,0.171349692
28550,0.17919252
28600,0.172004328
28650,0.172118616
28700,0.17295408
28750,0.172739896
28800,0.170886764
28850,0.1725664
28900,0.169955064
28950,0.174738632
29000,0.173042016
29050,0.172724996
29100,0.176100452
29150,0.17495244
29200,0.175157748
29250,0.172549476
29300,0.176713668
29350,0.175555288
29400,0.176377072
29450,0.175204304
29500,0.179109704
29550,0.177564364
29600,0.175366284
29650,0.1820364
29700,0.182992816
29750,0.180535464
29800,0.178805668
29850,0.177339072
29900,0.178403408
29950,0.180097136
30000,0.181427952
30050,0.1820872
30100,0.182592612
30150,0.184806728
30200,0.177442828
30250,0.181294184
30300,0.181406744
30350,0.18366602
30400,0.182615236
30450,0.183912348
30500,0.18217814
30550,0.18112476
30600,0.18178212
30650,0.188206092
30700,0.186174028
30750,0.184388304
30800,0.182609548
